iter	RMSE
0	4.246201585
1	3.973725221
2	3.723864359
3	3.489677334
4	3.268792934
5	3.063110169
6	2.872486194
7	2.697203551
8	2.533830213
9	2.382575027
10	2.241819511
11	2.109322784
12	1.987616896
13	1.875725225
14	1.770647764
15	1.673909238
16	1.58384474
17	1.500030692
18	1.421343515
19	1.350651539
20	1.285088717
21	1.223916716
22	1.162920401
23	1.108231384
24	1.060882934
25	1.014087745
26	0.9723193065
27	0.9335856166
28	0.8957888869
29	0.8607610298
30	0.8300903567
31	0.8007918228
32	0.7753576807
33	0.7509348444
34	0.7288142676
35	0.7081433398
36	0.6892312373
37	0.6725711569
38	0.6568495962
39	0.6423944364
40	0.6293405913
41	0.6166473061
42	0.6056649999
43	0.5955555826
44	0.5860822063
45	0.5777425565
46	0.5699923024
47	0.5628904902
48	0.5574996329
49	0.5519571547
50	0.5461383056
51	0.5371863394
52	0.5324960822
53	0.5275446765
54	0.5234431439
55	0.5190730453
56	0.5143122495
57	0.5105702097
58	0.5034651251
59	0.5000869252
60	0.497010353
61	0.494444
62	0.4922752343
63	0.4901134348
64	0.487690761
65	0.4855684233
66	0.4835407504
67	0.4818151324
68	0.480082592
69	0.4786031382
70	0.4774870848
71	0.4760118901
72	0.4746640687
73	0.4734941582
74	0.4725412414
75	0.4713119552
76	0.4669139584
77	0.4657491026
78	0.4648549717
79	0.4638791453
80	0.4630207568
81	0.4623252806
82	0.4616427548
83	0.4608149455
84	0.4601400835
85	0.4595067538
86	0.4588910462
87	0.4583125856
88	0.4569307278
89	0.4563561756
90	0.4559443231
91	0.4555346919
92	0.4542169728
93	0.453764177
94	0.453350537
95	0.4529197499
96	0.4525023895
97	0.4509240803
98	0.4504191909
99	0.4497772662
100	0.4489107839
101	0.4484608211
102	0.4481932519
103	0.4462509777
104	0.4443097461
105	0.4439345707
106	0.4436370426
107	0.4432498017
108	0.442961122
109	0.4424942838
110	0.4422096912
111	0.4419517226
112	0.4404663972
113	0.4385534615
114	0.4344952239
115	0.4342206965
116	0.4335947559
117	0.4333738904
118	0.4331514649
119	0.4299905506
120	0.4296770074
121	0.4292960087
122	0.4289374949
123	0.4286981817
124	0.4284731602
125	0.4281543197
126	0.4271982893
127	0.4270337834
128	0.4243468226
129	0.423925126
130	0.4233145118
131	0.4215268826
132	0.4213073788
133	0.4208792377
134	0.4201850527
135	0.4175765036
136	0.4164316934
137	0.413648109
138	0.4115520494
139	0.4112097106
140	0.4110806099
141	0.4109515469
142	0.4096904634
143	0.4094648107
144	0.4092783902
145	0.408004886
146	0.4069456181
147	0.406744448
148	0.4066334389
149	0.406478861
150	0.4061342051
151	0.4059216834
152	0.405372702
153	0.4047899772
154	0.4027367258
155	0.4025817099
156	0.4023146934
157	0.402048979
158	0.4013374843
159	0.4010346683
160	0.4008812397
161	0.4006504852
162	0.4003735688
163	0.39943737
164	0.3975960614
165	0.3974184528
166	0.3973107855
167	0.3971466495
168	0.3970173081
169	0.3969475192
170	0.3968290706
171	0.3967157327
172	0.3964165433
173	0.3949471536
174	0.3935216658
175	0.392576088
176	0.3923188971
177	0.3918843125
178	0.3917675335
179	0.3916162619
180	0.3914634331
181	0.3913829815
182	0.3911758833
183	0.3909893765
184	0.3907963845
185	0.3904409525
186	0.3902971569
187	0.3901538028
188	0.3900267585
189	0.3891203005
190	0.3887298009
191	0.3886382777
192	0.3882477901
193	0.3881425902
194	0.3868865184
195	0.3866161253
196	0.3864907465
197	0.3863951775
198	0.3860113118
199	0.3858125173
200	0.3855867733
201	0.3852644638
202	0.3846051167
203	0.3843448505
204	0.384244397
205	0.3841365523
206	0.3840627068
207	0.3838429275
208	0.3837620303
209	0.3830917683
210	0.3829414142
211	0.3827803975
212	0.3826178636
213	0.3825437669
214	0.3823821624
215	0.3822999469
216	0.3822057274
217	0.3814628065
218	0.3812083225
219	0.3810818393
220	0.3809062158
221	0.3808001907
222	0.3807142136
223	0.3797242574
224	0.3795885985
225	0.3794038313
226	0.3792956486
227	0.3790924632
228	0.3789491124
229	0.3788508773
230	0.378717622
231	0.3786673845
232	0.3785471652
233	0.3784244652
234	0.3782702162
235	0.3778366608
236	0.3776114913
237	0.377469473
238	0.3773732382
239	0.3771839977
240	0.3766072544
241	0.3765521036
242	0.3760502096
243	0.3758570954
244	0.3757503087
245	0.3756061103
246	0.3754527157
247	0.3752604934
248	0.3751926985
249	0.3750423494
250	0.3749785234
251	0.3745570159
252	0.3744869474
253	0.3743453971
254	0.3740847177
255	0.3739478511
256	0.3737311346
257	0.3736224496
258	0.373416823
259	0.3733630737
260	0.3732200203
261	0.3730646321
262	0.3729804705
263	0.3728065497
264	0.3726645768
265	0.3726010337
266	0.3724322446
267	0.3723281886
268	0.3722001562
269	0.3720358085
270	0.3719097717
271	0.3718515898
272	0.3717360202
273	0.3716435992
274	0.3714798492
275	0.3713942897
276	0.3712723864
277	0.3711778146
278	0.3711387057
279	0.3710564467
280	0.370947888
281	0.3708952329
282	0.3706696412
283	0.3705589087
284	0.3704796016
285	0.3703148376
286	0.3702154403
287	0.3701002937
288	0.3697120748
289	0.3696632226
290	0.369154706
291	0.3689626662
292	0.3688461261
293	0.3687505615
294	0.3687017562
295	0.3685897129
296	0.3685187497
297	0.3683758879
298	0.3682672811
299	0.3681535773
300	0.3680532688
301	0.3678231591
302	0.3677552389
303	0.3676442407
304	0.3675928397
305	0.367523696
306	0.3672993597
307	0.367146435
308	0.3671007663
309	0.3667891108
310	0.3667112569
311	0.3666172404
312	0.3664800304
313	0.3663088268
314	0.3661886656
315	0.3660760178
316	0.3658637004
317	0.3657073733
318	0.3656137251
319	0.3655129395
320	0.3650265727
321	0.3649326287
322	0.3647962722
323	0.3646918447
324	0.3642432859
325	0.3641042983
326	0.3639845355
327	0.3638891629
328	0.3637748309
329	0.363591323
330	0.3635343302
331	0.3634025139
332	0.3633124639
333	0.3630590717
334	0.3629508559
335	0.3628435381
336	0.3626149322
337	0.3625519776
338	0.3624132839
339	0.362361762
340	0.36189699
341	0.3616860528
342	0.3616189025
343	0.3615080101
344	0.3614305196
345	0.3613370421
346	0.3612835869
347	0.3611736485
348	0.3609303568
349	0.3608363376
350	0.3606936417
351	0.3606288029
352	0.3605318403
353	0.360487017
354	0.3604269131
355	0.3603590375
356	0.3602768494
357	0.3602208717
358	0.3600850412
359	0.3599684069
360	0.359778914
361	0.3596791973
362	0.3596024862
363	0.3595247751
364	0.3593809658
365	0.3592855569
366	0.3591861731
367	0.3590382099
368	0.3589550588
369	0.3588635233
370	0.3587714267
371	0.3585068102
372	0.3583958519
373	0.3583655754
374	0.3582321937
375	0.3580971576
376	0.3580412096
377	0.3576874403
378	0.3576016938
379	0.3575320679
380	0.3573772015
381	0.3573413843
382	0.3572753634
383	0.3571300969
384	0.3570512287
385	0.3569407974
386	0.3568386546
387	0.3567578069
388	0.3566932666
389	0.356650868
390	0.356515154
391	0.3564025044
392	0.3563416326
393	0.3562292102
394	0.3561060202
395	0.3560671295
396	0.3559939636
397	0.3558900247
398	0.3557904153
399	0.3556940545
400	0.3556092626
401	0.3555402299
402	0.3554332186
403	0.3553527863
404	0.3552332745
405	0.3551247788
406	0.3550572026
407	0.3549853229
408	0.3549488795
409	0.3548794579
410	0.3547945845
411	0.354744369
412	0.3547038787
413	0.3546384433
414	0.3546044915
415	0.3545267277
416	0.3544346154
417	0.3543616342
418	0.354289103
419	0.3541908361
420	0.354095436
421	0.3540211248
422	0.3539867505
423	0.3539456399
424	0.35386546
425	0.3537965187
426	0.3536771174
427	0.3536008885
428	0.3534969735
429	0.3534179768
430	0.3533081046
431	0.3532828864
432	0.3532234681
433	0.3531309248
434	0.3530285562
435	0.3529482591
436	0.3528438102
437	0.3527787475
438	0.3527082948
439	0.3525535323
440	0.3524721008
441	0.3524080869
442	0.352342978
443	0.3522984816
444	0.3520993369
445	0.3520709959
446	0.3520589078
447	0.3519690384
448	0.3519148682
449	0.3518517467
450	0.3517338789
451	0.3516719819
452	0.3516178002
453	0.3515386784
454	0.3514289392
455	0.3512790471
456	0.351201039
457	0.3510970775
458	0.3510562926
459	0.3509657886
460	0.3508946513
461	0.3508181958
462	0.3507192543
463	0.35062699
464	0.3505560362
465	0.350470563
466	0.3503768568
467	0.3502756796
468	0.3501773423
469	0.3501390441
470	0.3500610001
471	0.3500088539
472	0.3499176196
473	0.349877191
474	0.3497869909
475	0.3496931934
476	0.3496340386
477	0.3495326809
478	0.3494728779
479	0.3493875193
480	0.3493217553
481	0.3492659894
482	0.3492322172
483	0.3491686223
484	0.3491271631
485	0.3490584833
486	0.3490050704
487	0.3489365048
488	0.348887243
489	0.34881332
490	0.3487497063
491	0.3486805603
492	0.3485948924
493	0.3485260616
494	0.348443043
495	0.348398683
496	0.3483415349
497	0.3482529795
498	0.348174582
499	0.3481193481
500	0.3480535407
501	0.3479677763
502	0.3479120244
503	0.3478448492
504	0.3477687632
505	0.3477388212
506	0.3476804781
507	0.3476049574
508	0.3475405443
509	0.347461373
510	0.3474055861
511	0.3473089124
512	0.347149358
513	0.34709212
514	0.3470352547
515	0.3469738862
516	0.3468920369
517	0.346836564
518	0.3467702119
519	0.3466050413
520	0.3465198345
521	0.3464668654
522	0.3464097699
523	0.3463735496
524	0.3463147096
525	0.3462731408
526	0.3461823266
527	0.3461016836
528	0.3460286985
529	0.3459645495
530	0.3458930459
531	0.3458408058
532	0.3457778074
533	0.3457520284
534	0.3456781906
535	0.3456143602
536	0.3455812313
537	0.345514452
538	0.3454472178
539	0.3453522533
540	0.3453288048
541	0.3452586827
542	0.3452108868
543	0.3451359668
544	0.3450508864
545	0.3450064862
546	0.3449443956
547	0.344880884
548	0.3448206821
549	0.3447570077
550	0.3447185154
551	0.3446535861
552	0.3445875601
553	0.3445333141
554	0.3444616534
555	0.3444052756
556	0.3443463677
557	0.3442599248
558	0.3441759006
559	0.3441080661
560	0.3440546439
561	0.3439992625
562	0.343945064
563	0.3439020986
564	0.3438686527
565	0.3437929493
566	0.3437402497
567	0.3437054435
568	0.3436822803
569	0.3436343703
570	0.3435604751
571	0.3435095883
572	0.3434461857
573	0.3433940766
574	0.3433326894
575	0.3432880904
576	0.343247525
577	0.3430459727
578	0.3430051326
579	0.3429421406
580	0.342885009
581	0.3428191464
582	0.3427196662
583	0.3426378446
584	0.3425878413
585	0.3425362469
586	0.3424944894
587	0.3424048796
588	0.3423443597
589	0.3422516929
590	0.3421862251
591	0.3421514017
592	0.3421029485
593	0.3420416115
594	0.3419994058
595	0.3419458892
596	0.3418895197
597	0.3417827495
598	0.3417394182
599	0.341638071
600	0.3416142852
601	0.3415644616
602	0.3415243856
603	0.3414987679
604	0.3414507399
605	0.3414039058
606	0.341346293
607	0.3413223457
608	0.3412409898
609	0.3411953047
610	0.3411470455
611	0.3410994746
612	0.3410522623
613	0.3409852797
614	0.3408967938
615	0.340841477
616	0.3408015991
617	0.3407624712
618	0.3407081352
619	0.3406641128
620	0.3406209695
621	0.3405875082
622	0.3405261343
623	0.3404679953
624	0.3404217461
625	0.3403652658
626	0.3403057177
627	0.3402843071
628	0.3402155195
629	0.3401736662
630	0.3400992553
631	0.3400319195
632	0.3399704571
633	0.3399322621
634	0.3398943465
635	0.3398462928
636	0.3397891492
637	0.3397451733
638	0.3396929342
639	0.3396496439
640	0.3396019461
641	0.3395235513
642	0.3394775286
643	0.3394321508
644	0.3393868261
645	0.3393062261
646	0.3392687263
647	0.3392198731
648	0.3391682285
649	0.3391263169
650	0.3390786758
651	0.3390424191
652	0.3389888743
653	0.3389470711
654	0.3388935112
655	0.3388028897
656	0.3387669949
657	0.3386654938
658	0.3386138596
659	0.3385635825
660	0.3385046671
661	0.3384634333
662	0.3384310174
663	0.3383785517
664	0.338321077
665	0.3382831472
666	0.3382301357
667	0.338132562
668	0.3380682698
669	0.3380275059
670	0.3379942635
671	0.3379437039
672	0.3379027466
673	0.3378377446
674	0.3377845204
675	0.337743877
676	0.337688127
677	0.3376040622
678	0.3375629565
679	0.3375230484
680	0.3374619984
681	0.337437299
682	0.3373733985
683	0.3373400081
684	0.3372679272
685	0.3371936737
686	0.3371568447
687	0.3371308952
688	0.337071479
689	0.3370145804
690	0.3369123128
691	0.3368708961
692	0.3368301304
693	0.3367621528
694	0.3366656457
695	0.3366314092
696	0.3365765377
697	0.3365180029
698	0.3364882182
699	0.3363918594
