iter	Passed	Remaining
0	7	7477
1	17	8601
2	22	7542
3	29	7251
4	40	8086
5	49	8277
6	56	8063
7	62	7772
8	68	7547
9	73	7259
10	78	7035
11	83	6884
12	90	6845
13	96	6825
14	102	6713
15	108	6690
16	117	6822
17	125	6837
18	163	8449
19	169	8328
20	176	8220
21	182	8126
22	190	8093
23	198	8060
24	203	7941
25	210	7871
26	217	7825
27	222	7730
28	228	7644
29	234	7577
30	246	7702
31	253	7669
32	261	7654
33	268	7619
34	273	7536
35	281	7544
36	288	7506
37	295	7491
38	301	7432
39	310	7440
40	317	7427
41	325	7419
42	335	7457
43	344	7490
44	351	7457
45	362	7508
46	370	7502
47	380	7546
48	388	7533
49	395	7522
50	403	7500
51	412	7517
52	418	7479
53	427	7486
54	434	7467
55	441	7450
56	446	7393
57	454	7375
58	461	7352
59	466	7316
60	475	7318
61	481	7278
62	490	7295
63	496	7255
64	503	7243
65	508	7200
66	513	7156
67	521	7153
68	527	7119
69	535	7110
70	540	7070
71	545	7032
72	553	7030
73	559	6997
74	565	6976
75	571	6949
76	576	6908
77	582	6880
78	587	6849
79	592	6810
80	600	6808
81	606	6785
82	613	6780
83	620	6761
84	624	6725
85	631	6714
86	636	6678
87	640	6641
88	649	6643
89	653	6611
90	658	6582
91	664	6561
92	669	6529
93	674	6502
94	679	6476
95	684	6444
96	688	6412
97	694	6393
98	699	6366
99	703	6335
100	709	6316
101	714	6291
102	719	6267
103	726	6260
104	731	6237
105	736	6212
106	742	6196
107	747	6175
108	752	6149
109	758	6136
110	763	6116
111	768	6092
112	773	6075
113	779	6055
114	784	6034
115	789	6012
116	794	5998
117	800	5981
118	804	5959
119	811	5947
120	820	5960
121	834	6007
122	849	6054
123	862	6096
124	875	6130
125	881	6117
126	886	6095
127	898	6119
128	925	6249
129	937	6272
130	951	6308
131	961	6325
132	967	6306
133	973	6293
134	978	6269
135	983	6246
136	989	6232
137	994	6209
138	998	6187
139	1005	6174
140	1009	6151
141	1014	6129
142	1022	6128
143	1028	6116
144	1034	6097
145	1039	6079
146	1043	6057
147	1049	6039
148	1054	6020
149	1059	6002
150	1064	5984
151	1069	5968
152	1074	5950
153	1079	5931
154	1085	5915
155	1090	5899
156	1095	5882
157	1101	5868
158	1106	5852
159	1111	5835
160	1116	5817
161	1121	5803
162	1127	5791
163	1134	5780
164	1141	5774
165	1147	5766
166	1154	5760
167	1162	5756
168	1172	5764
169	1179	5757
170	1187	5757
171	1197	5762
172	1209	5780
173	1216	5775
174	1221	5758
175	1226	5744
176	1233	5735
177	1239	5721
178	1244	5706
179	1255	5719
180	1272	5758
181	1282	5762
182	1294	5778
183	1311	5817
184	1325	5839
185	1337	5855
186	1358	5905
187	1376	5947
188	1390	5967
189	1407	6000
190	1422	6023
191	1435	6041
192	1448	6055
193	1459	6064
194	1476	6095
195	1492	6121
196	1506	6142
197	1519	6156
198	1533	6170
199	1546	6184
200	1557	6189
201	1574	6218
202	1590	6242
203	1605	6264
204	1617	6274
205	1630	6286
206	1642	6290
207	1654	6301
208	1668	6313
209	1682	6328
210	1694	6337
211	1705	6340
212	1718	6351
213	1732	6361
214	1745	6373
215	1756	6375
216	1770	6389
217	1787	6411
218	1800	6421
219	1811	6422
220	1822	6423
221	1836	6437
222	1851	6451
223	1876	6501
224	1884	6489
225	1894	6487
226	1905	6489
227	1917	6492
228	1931	6502
229	1946	6515
230	1964	6538
231	1980	6554
232	1991	6554
233	2000	6547
234	2043	6652
235	2058	6663
236	2070	6664
237	2085	6676
238	2092	6662
239	2096	6639
240	2100	6616
241	2106	6596
242	2110	6574
243	2114	6552
244	2118	6529
245	2124	6512
246	2128	6489
247	2133	6467
248	2137	6446
249	2142	6428
250	2147	6409
251	2152	6388
252	2156	6368
253	2160	6346
254	2164	6324
255	2169	6303
256	2173	6284
257	2177	6263
258	2181	6242
259	2185	6221
260	2190	6202
261	2194	6182
262	2199	6162
263	2204	6145
264	2208	6126
265	2212	6106
266	2217	6088
267	2223	6071
268	2227	6053
269	2231	6034
270	2237	6018
271	2241	5999
272	2245	5980
273	2250	5961
274	2255	5945
275	2260	5928
276	2264	5910
277	2269	5894
278	2274	5877
279	2278	5858
280	2282	5840
281	2286	5822
282	2291	5805
283	2295	5786
284	2299	5768
285	2304	5753
286	2308	5735
287	2312	5717
288	2319	5705
289	2324	5691
290	2329	5676
291	2335	5662
292	2339	5645
293	2343	5628
294	2348	5611
295	2354	5598
296	2358	5582
297	2362	5565
298	2368	5552
299	2372	5536
300	2377	5521
301	2382	5506
302	2388	5493
303	2393	5480
304	2398	5465
305	2403	5451
306	2407	5435
307	2412	5419
308	2417	5407
309	2422	5391
310	2427	5377
311	2432	5363
312	2436	5348
313	2441	5333
314	2445	5317
315	2449	5302
316	2454	5287
317	2458	5272
318	2462	5256
319	2467	5243
320	2471	5227
321	2475	5212
322	2479	5197
323	2484	5184
324	2488	5168
325	2492	5153
326	2497	5139
327	2502	5127
328	2507	5113
329	2512	5101
330	2517	5088
331	2521	5073
332	2525	5059
333	2530	5045
334	2534	5030
335	2538	5016
336	2542	5002
337	2547	4990
338	2552	4976
339	2556	4962
340	2560	4947
341	2565	4936
342	2569	4921
343	2573	4907
344	2577	4893
345	2583	4883
346	2587	4869
347	2591	4855
348	2597	4845
349	2602	4832
350	2606	4818
351	2610	4805
352	2615	4793
353	2619	4780
354	2624	4768
355	2630	4757
356	2634	4745
357	2638	4731
358	2642	4718
359	2647	4705
360	2651	4693
361	2655	4679
362	2659	4667
363	2664	4655
364	2668	4642
365	2672	4630
366	2678	4619
367	2682	4607
368	2687	4596
369	2692	4584
370	2697	4573
371	2701	4560
372	2705	4548
373	2709	4535
374	2714	4523
375	2718	4511
376	2723	4500
377	2728	4490
378	2732	4477
379	2737	4465
380	2741	4453
381	2745	4442
382	2749	4429
383	2753	4417
384	2758	4405
385	2762	4394
386	2766	4382
387	2770	4370
388	2774	4358
389	2780	4348
390	2784	4337
391	2788	4325
392	2792	4313
393	2798	4304
394	2802	4292
395	2806	4280
396	2811	4270
397	2815	4259
398	2820	4247
399	2824	4236
400	2829	4226
401	2834	4216
402	2838	4204
403	2842	4193
404	2847	4183
405	2851	4171
406	2855	4160
407	2860	4150
408	2870	4147
409	2874	4137
410	2881	4129
411	2885	4117
412	2889	4106
413	2895	4097
414	2899	4087
415	2903	4075
416	2907	4064
417	2913	4056
418	2917	4045
419	2921	4034
420	2926	4024
421	2930	4013
422	2934	4003
423	2939	3993
424	2944	3984
425	2948	3973
426	2952	3962
427	2956	3951
428	2961	3941
429	2965	3930
430	2969	3920
431	2973	3909
432	2977	3899
433	2982	3889
434	2986	3878
435	2991	3870
436	2996	3859
437	3000	3849
